organic,anion,cation,hse06,gga,organic-homo,organic-lumo,organic-dipole,organic-atomization,organic-r_gyr,organic-total_mass,anion-electron_affinity,anion-ionization_energy,anion-mass,anion-electronegativity,cation-electron_affinity,cation-ionization_energy,cation-mass,cation-electronegativity
acetamidinium,F,Ge,5.1528,3.8145,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
acetamidinium,Cl,Ge,3.7624,2.8878,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.612724,12.96764,35.45,3.0,1.232676,7.8994,72.63,2.01
acetamidinium,Br,Ge,2.9861,2.2149,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.363588,11.81381,79.904,2.8,1.232676,7.8994,72.63,2.01
acetamidinium,I,Ge,2.3129,1.6986,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.059046,10.45126,126.9,2.5,1.232676,7.8994,72.63,2.01
acetamidinium,F,Sn,4.3173,3.2079,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.401189,17.42282,18.998,4.0,1.11207,7.3439,118.71,1.9
acetamidinium,Cl,Sn,3.0364,2.267,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.612724,12.96764,35.45,3.0,1.11207,7.3439,118.71,1.9
acetamidinium,Br,Sn,2.3986,1.6883,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.363588,11.81381,79.904,2.8,1.11207,7.3439,118.71,1.9
acetamidinium,I,Sn,1.7999,1.2292,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.059046,10.45126,126.9,2.5,1.11207,7.3439,118.71,1.9
acetamidinium,F,Pb,5.0782,3.7441,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.401189,17.42282,18.998,4.0,0.356743,7.41666,207.2,2.33
acetamidinium,Cl,Pb,3.312,2.3041,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.612724,12.96764,35.45,3.0,0.356743,7.41666,207.2,2.33
acetamidinium,Br,Pb,2.8325,1.8768,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.363588,11.81381,79.904,2.8,0.356743,7.41666,207.2,2.33
acetamidinium,I,Pb,2.4574,1.5898,-0.49721,-0.224,1.3334,-1.725933612628,1.3441486537452711,59.092000000000006,3.059046,10.45126,126.9,2.5,0.356743,7.41666,207.2,2.33
ammonium,F,Ge,4.9157,3.7949,-0.82332,-0.23211,0.0,-0.417229812216,0.4854253354305651,18.038999999999998,3.401189,17.42282,18.998,4.0,1.232676,7.8994,72.63,2.01
